Type of Crime,2021 Reported,2021 Detected,2022 Reported,2022 Detected,2023 Reported,2023 Detected
Rape(376 IPC),116,116,152,151,176,176
Molestation (354 IPC),573,559,731,688,1135,1004
Insulting Modesty of Women (509 IPC),19,17,29,24,60,52
Dowry Death (304(B) IPC),26,26,29,29,25,25
Cruelty By Husband or Relatives of husband (Sec. 498(A) IPC),422,420,580,573,696,696
Immoral Trafficking Act,129,129,155,155,161,161
Indecent Representation of Women (prohibition) Act,0,0,0,0,0,0
Dowry Prohibition Act,735,724,954,925,1007,1007
TOTAL,2020,1991,2630,2545,3260,3121
